"text","label"
"@user you couldn?t catch me letting some saggy whitey bitch talkin like this to me ?? bitch eat dirt","1"
".@user  joined the show to talk about how she is leading the fight against breast cancer at @user @user listen to the full interview:","0"
"@user you are becoming the court jester of the senate","1"
"@user tell that to him. he is very perfectionist. i don?t think we will change that ever ??","0"
"@user @user @user @user also there to help banks boost their balance sheets post crash. i'd imagine atleast 15% (maybe more) of current house prices are part of the bank bailout package.","0"
"@user he?s a da. someone educate him he?s in the south now","0"
"@user notice how everyone avoids this tweet ????  they might think you are referring to them. ????  but not me comrade. i stalk everyone. ????","0"
"@user i don't know if this cat even realizes what he is doing.","0"
"@user @user he is.","0"
"@user and you are a football fan too !","0"
"@user well he?s closer to lincoln than you are.","0"
"@user every one of them is more rank than she is. and she's pretty rank. so i guess they all outrank her...","0"
"@user well...?","0"
"@user and why report this garbage.  we don't give a crap.","1"
"@user @user @user says one of the thickest cultists on twitter. irony at its finest.","0"
"@user she is disgusting","1"
"@user eric holder is obama's straw man of corruption","1"
"@user and yes your presidency was one of the absolute worst. go back to that....no way.","0"
"@user @user @user you should take this picture down you destroyed one of my all time favorite comedian/actors @user","0"
"@user @user @user @user @user @user i saw her in denver last week. she is still traumatized. cohen owes her so much because of 'my life on the d list'.","0"
"@user america is better than swamp crud like you!","1"
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user thank you for adding me razor!  patriots- if you aren?t following my primary account @user - will you take a minute &amp; follow me? thanks &amp; maga????","0"
"@user the lies i keep hearing everyday sigh *inhales* im tired of you putting yourself down and if ppl dont see how beautiful my bestfriend is then its their problem you are beautiful ive seen it so its my place to tell you you are beautiful and i accept nothing less. if not more ??","1"
"@user he is very perceptive sweetie!","0"
"@user dear paul mcfartney-  you had us at beatles.  you lost us at president mad captain.  burn in hell-  jon.""""","1"
"@user you are also the king of taste","0"
"@user and everyone knows that kerry doesn't have a clue!  heard that from numerous anonymous"""" sources who also say he is not sane.  that's what the sources say.""""","0"
"@user @user i think she is a hypocrite and loyal to the evil gop. vote her out.","1"
"@user @user bill clinton enjoyed raping them while ted kennedy enjoyed killing them. but you are cool with that.","1"
"@user #conservatives #republicans are #traitors to #america","1"
"@user this liberal is pissed that anyone would give that disgusting pos an award for equality. and....f.u. for including all liberals in this bullshit decision by the hrc.","1"
